bucket_start_utc,asset_id,direction,classification,count,avg_speed_kmh,p85_speed_kmh
2025-11-24T03:21:09.877359Z,cam-002,SB,Motorcycle,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,SB,Car,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,SB,LightCommercial,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,SB,Bus,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,SB,RigidTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,SB,ArticulatedTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,EB,Ped,2,,
2025-11-24T03:21:09.877359Z,cam-002,EB,Bicycle,3,,
2025-11-24T03:21:09.877359Z,cam-002,EB,Motorcycle,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,EB,Car,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,EB,LightCommercial,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,EB,Bus,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,EB,RigidTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,EB,ArticulatedTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,WB,Ped,2,,
2025-11-24T03:21:09.877359Z,cam-002,WB,Bicycle,3,,
2025-11-24T03:21:09.877359Z,cam-002,WB,Motorcycle,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,WB,Car,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,WB,LightCommercial,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,WB,Bus,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,WB,RigidTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-002,WB,ArticulatedTruck,3,60,78
2025-11-24T03:22:09.877359Z,cam-002,NB,Ped,2,,
2025-11-24T03:22:09.877359Z,cam-002,NB,Bicycle,3,,
2025-11-24T03:22:09.877359Z,cam-002,NB,Motorcycle,3,60,78
2025-11-24T03:22:09.877359Z,cam-002,NB,Car,3,60,78
2025-11-24T03:22:09.877359Z,cam-002,NB,LightCommercial,3,60,78
2025-11-24T03:22:09.877359Z,cam-002,NB,Bus,3,60,78
2025-11-24T03:22:09.877359Z,cam-002,NB,RigidTruck,3,60,78
2025-11-24T03:22:09.877359Z,cam-002,NB,ArticulatedTruck,3,60,78
2025-11-24T03:22:09.877359Z,cam-002,SB,Ped,2,,
2025-11-24T03:16:09.877359Z,cam-003,NB,Ped,2,,
2025-11-24T03:16:09.877359Z,cam-003,NB,Bicycle,3,,
2025-11-24T03:16:09.877359Z,cam-003,NB,Motorcycle,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,NB,Car,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,NB,LightCommercial,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,NB,Bus,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,NB,RigidTruck,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,NB,ArticulatedTruck,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,SB,Ped,2,,
2025-11-24T03:16:09.877359Z,cam-003,SB,Bicycle,3,,
2025-11-24T03:16:09.877359Z,cam-003,SB,Motorcycle,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,SB,Car,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,SB,LightCommercial,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,SB,Bus,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,SB,RigidTruck,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,SB,ArticulatedTruck,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,EB,Ped,2,,
2025-11-24T03:16:09.877359Z,cam-003,EB,Bicycle,3,,
2025-11-24T03:16:09.877359Z,cam-003,EB,Motorcycle,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,EB,Car,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,EB,LightCommercial,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,EB,Bus,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,EB,RigidTruck,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,EB,ArticulatedTruck,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,WB,Ped,2,,
2025-11-24T03:16:09.877359Z,cam-003,WB,Bicycle,3,,
2025-11-24T03:16:09.877359Z,cam-003,WB,Motorcycle,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,WB,Car,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,WB,LightCommercial,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,WB,Bus,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,WB,RigidTruck,3,60,78
2025-11-24T03:16:09.877359Z,cam-003,WB,ArticulatedTruck,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,NB,Ped,2,,
2025-11-24T03:17:09.877359Z,cam-003,NB,Bicycle,3,,
2025-11-24T03:17:09.877359Z,cam-003,NB,Motorcycle,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,NB,Car,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,NB,LightCommercial,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,NB,Bus,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,NB,RigidTruck,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,NB,ArticulatedTruck,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,SB,Ped,2,,
2025-11-24T03:17:09.877359Z,cam-003,SB,Bicycle,3,,
2025-11-24T03:17:09.877359Z,cam-003,SB,Motorcycle,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,SB,Car,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,SB,LightCommercial,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,SB,Bus,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,SB,RigidTruck,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,SB,ArticulatedTruck,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,EB,Ped,2,,
2025-11-24T03:17:09.877359Z,cam-003,EB,Bicycle,3,,
2025-11-24T03:17:09.877359Z,cam-003,EB,Motorcycle,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,EB,Car,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,EB,LightCommercial,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,EB,Bus,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,EB,RigidTruck,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,EB,ArticulatedTruck,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,WB,Ped,2,,
2025-11-24T03:17:09.877359Z,cam-003,WB,Bicycle,3,,
2025-11-24T03:17:09.877359Z,cam-003,WB,Motorcycle,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,WB,Car,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,WB,LightCommercial,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,WB,Bus,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,WB,RigidTruck,3,60,78
2025-11-24T03:17:09.877359Z,cam-003,WB,ArticulatedTruck,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,NB,Ped,2,,
2025-11-24T03:18:09.877359Z,cam-003,NB,Bicycle,3,,
2025-11-24T03:18:09.877359Z,cam-003,NB,Motorcycle,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,NB,Car,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,NB,LightCommercial,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,NB,Bus,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,NB,RigidTruck,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,NB,ArticulatedTruck,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,SB,Ped,2,,
2025-11-24T03:18:09.877359Z,cam-003,SB,Bicycle,3,,
2025-11-24T03:18:09.877359Z,cam-003,SB,Motorcycle,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,SB,Car,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,SB,LightCommercial,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,SB,Bus,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,SB,RigidTruck,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,SB,ArticulatedTruck,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,EB,Ped,2,,
2025-11-24T03:18:09.877359Z,cam-003,EB,Bicycle,3,,
2025-11-24T03:18:09.877359Z,cam-003,EB,Motorcycle,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,EB,Car,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,EB,LightCommercial,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,EB,Bus,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,EB,RigidTruck,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,EB,ArticulatedTruck,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,WB,Ped,2,,
2025-11-24T03:18:09.877359Z,cam-003,WB,Bicycle,3,,
2025-11-24T03:18:09.877359Z,cam-003,WB,Motorcycle,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,WB,Car,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,WB,LightCommercial,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,WB,Bus,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,WB,RigidTruck,3,60,78
2025-11-24T03:18:09.877359Z,cam-003,WB,ArticulatedTruck,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,NB,Ped,2,,
2025-11-24T03:19:09.877359Z,cam-003,NB,Bicycle,3,,
2025-11-24T03:19:09.877359Z,cam-003,NB,Motorcycle,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,NB,Car,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,NB,LightCommercial,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,NB,Bus,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,NB,RigidTruck,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,NB,ArticulatedTruck,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,SB,Ped,2,,
2025-11-24T03:19:09.877359Z,cam-003,SB,Bicycle,3,,
2025-11-24T03:19:09.877359Z,cam-003,SB,Motorcycle,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,SB,Car,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,SB,LightCommercial,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,SB,Bus,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,SB,RigidTruck,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,SB,ArticulatedTruck,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,EB,Ped,2,,
2025-11-24T03:19:09.877359Z,cam-003,EB,Bicycle,3,,
2025-11-24T03:19:09.877359Z,cam-003,EB,Motorcycle,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,EB,Car,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,EB,LightCommercial,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,EB,Bus,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,EB,RigidTruck,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,EB,ArticulatedTruck,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,WB,Ped,2,,
2025-11-24T03:19:09.877359Z,cam-003,WB,Bicycle,3,,
2025-11-24T03:19:09.877359Z,cam-003,WB,Motorcycle,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,WB,Car,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,WB,LightCommercial,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,WB,Bus,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,WB,RigidTruck,3,60,78
2025-11-24T03:19:09.877359Z,cam-003,WB,ArticulatedTruck,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,NB,Ped,2,,
2025-11-24T03:20:09.877359Z,cam-003,NB,Bicycle,3,,
2025-11-24T03:20:09.877359Z,cam-003,NB,Motorcycle,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,NB,Car,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,NB,LightCommercial,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,NB,Bus,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,NB,RigidTruck,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,NB,ArticulatedTruck,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,SB,Ped,2,,
2025-11-24T03:20:09.877359Z,cam-003,SB,Bicycle,3,,
2025-11-24T03:20:09.877359Z,cam-003,SB,Motorcycle,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,SB,Car,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,SB,LightCommercial,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,SB,Bus,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,SB,RigidTruck,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,SB,ArticulatedTruck,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,EB,Ped,2,,
2025-11-24T03:20:09.877359Z,cam-003,EB,Bicycle,3,,
2025-11-24T03:20:09.877359Z,cam-003,EB,Motorcycle,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,EB,Car,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,EB,LightCommercial,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,EB,Bus,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,EB,RigidTruck,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,EB,ArticulatedTruck,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,WB,Ped,2,,
2025-11-24T03:20:09.877359Z,cam-003,WB,Bicycle,3,,
2025-11-24T03:20:09.877359Z,cam-003,WB,Motorcycle,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,WB,Car,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,WB,LightCommercial,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,WB,Bus,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,WB,RigidTruck,3,60,78
2025-11-24T03:20:09.877359Z,cam-003,WB,ArticulatedTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,NB,Ped,2,,
2025-11-24T03:21:09.877359Z,cam-003,NB,Bicycle,3,,
2025-11-24T03:21:09.877359Z,cam-003,NB,Motorcycle,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,NB,Car,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,NB,LightCommercial,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,NB,Bus,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,NB,RigidTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,NB,ArticulatedTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,SB,Ped,2,,
2025-11-24T03:21:09.877359Z,cam-003,SB,Bicycle,3,,
2025-11-24T03:21:09.877359Z,cam-003,SB,Motorcycle,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,SB,Car,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,SB,LightCommercial,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,SB,Bus,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,SB,RigidTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,SB,ArticulatedTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,EB,Ped,2,,
2025-11-24T03:21:09.877359Z,cam-003,EB,Bicycle,3,,
2025-11-24T03:21:09.877359Z,cam-003,EB,Motorcycle,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,EB,Car,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,EB,LightCommercial,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,EB,Bus,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,EB,RigidTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,EB,ArticulatedTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,WB,Ped,2,,
2025-11-24T03:21:09.877359Z,cam-003,WB,Bicycle,3,,
2025-11-24T03:21:09.877359Z,cam-003,WB,Motorcycle,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,WB,Car,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,WB,LightCommercial,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,WB,Bus,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,WB,RigidTruck,3,60,78
2025-11-24T03:21:09.877359Z,cam-003,WB,ArticulatedTruck,3,60,78
2025-11-24T03:22:09.877359Z,cam-003,NB,Ped,2,,
2025-11-24T03:22:09.877359Z,cam-003,NB,Bicycle,3,,
2025-11-24T03:22:09.877359Z,cam-003,NB,Motorcycle,3,60,78
2025-11-24T03:22:09.877359Z,cam-003,NB,Car,3,60,78
2025-11-24T03:22:09.877359Z,cam-003,NB,LightCommercial,3,60,78
2025-11-24T03:22:09.877359Z,cam-003,NB,Bus,3,60,78
2025-11-24T03:22:09.877359Z,cam-003,NB,RigidTruck,3,60,78
2025-11-24T03:22:09.877359Z,cam-003,NB,ArticulatedTruck,3,60,78
2025-11-24T03:22:09.877359Z,cam-003,SB,Ped,2,,
